#진원시,규모,위도,경도,위치
2016-09-14 11:57,2.4,33.93 N,126.62 E,전남 완도군 남남서쪽 44km 해역
2016-09-14 4:43,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-14 3:55,2.4,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-14 1:37,2.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-14 0:48,3,35.75 N,129.18 E,경북 경주시 남남서쪽 11km 지역
2016-09-13 23:08,2.3,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역
2016-09-13 21:49,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 18:54,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 17:15,2,35.77 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 16:52,2.5,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 16:21,2,35.75 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 16:02,2.5,35.76 N,129.2 E,경북 경주시 남쪽 9km 지역
2016-09-13 14:41,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 14:31,3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:40,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:18,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:16,2.4,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 13:09,2.3,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 12:33,2,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 12:27,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 10:58,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:44,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:25,2,35.76 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 10:05,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 10:01,2.3,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 9:23,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 8:47,2.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 8:24,3.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 7:47,2.4,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 7:03,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 6:48,2,35.78 N,129.18 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 6:15,2.3,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 5:15,2,35.77 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 4:56,2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 4:41,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 4:13,2.1,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 3:11,2.1,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
2016-09-13 2:09,2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 2:03,2.2,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 2:03,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 1:58,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 1:37,2.2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 1:35,2.3,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
2016-09-13 1:31,2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-13 1:23,2.2,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
2016-09-13 1:03,2,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:45,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:37,3.3,35.78 N,129.2 E,경북 경주시 남남서쪽 7km 지역
2016-09-13 0:32,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:21,2.5,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:15,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:10,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-13 0:07,2.2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 23:53,2.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 23:52,3.1,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 23:18,3,35.76 N,129.17 E,경북 경주시 남남서쪽 8km 지역
